😀	0	rosto risonho	cheerful | cheery | engraçado | face | feliz | grin | grinning | grinning face | happy | laugh | lol | nice | rindo | risada | riso | rosto | rosto risonho | smile | smiling | sorridente | teeth
😃	0	rosto risonho com olhos bem abertos	aberto | awesome | big | boca | eyes | face | feliz | grin | grinning | grinning face with big eyes | happy | mouth | olhos arregalados | open | risada | risonho | rosto | rosto risonho com olhos bem abertos | rosto sorrindo com boca aberta | smile | smiling | sorridente | sorrindo | sorriso | teeth | yay
😄	0	rosto risonho com olhos sorridentes	aberta | boca | engraçado | eye | eyes | face | feliz | grin | grinning | grinning face with smiling eyes | haha | happy | laugh | lol | mouth | open | risada | riso | risonho | rosto risonho com olhos sorridentes | smile | smiling | sorridente | sorriso
😁	0	rosto contente com olhos sorridentes	beaming | beaming face with smiling eyes | eye | eyes | face | feliz | grin | grinning | happy | nice | olho | olhos sorrindo | rindo | rosto | rosto contente com olhos sorridentes | rosto rindo com olhos sorridentes | smile | smiling | sorridente | sorrindo | sorriso | sorriso aberto | teeth
😆	0	rosto risonho com olhos semicerrados	closed | eyes | face | gargalhada | gargalhando | grinning | grinning squinting face | haha | hahaha | happy | kkk | laugh | lol | mouth | olhos fechados | open | rir | rofl | rosto | rosto risonho com olhos semicerrados | smile | smiling | sorriso com olhos fechados | sorriso estilo XD | squinting
😅	0	rosto risonho com gota de suor	cold | dejected | estressada | estressado | excited | face | grinning | grinning face with sweat | mouth | nervoso | nervous | open | rindo | rosto | rosto risonho com gota de suor | smile | smiling | sorriso com suor frio | sorriso mas com suor frio | stress | stressed | suando frio | suor frio | sweat
🤣	0	rolando no chão de rir	choro | chão | crying | engraçada | face | feliz | floor | funny | gargalhada | haha | happy | hehe | hilarious | joy | kkk | laugh | lmao | lol | lágrimas | rindo | rir | risada | rofl | roflmao | rolando | rolando no chão de rir | rolling | rolling on the floor laughing | tear
😂	0	rosto chorando de rir	alegria | chorando de rir | crying | engraçada | engraçado | face | face with tears of joy | feels | funny | gargalhada | haha | hahaha | happy | hehe | hilarious | joy | kkk | laugh | lmao | lol | lágrimas | lágrimas de alegria | rofl | roflmao | rosto | rosto chorando de rir | rosto com lágrimas de alegria | tear
🙂	0	rosto levemente sorridente	face | feliz | happy | rosto | rosto levemente sorridente | rosto sorrindo | slightly | slightly smiling face | smile | smiling | sorriso | sorriso leve
🙃	0	rosto de cabeça para baixo	de cabeça para baixo | face | hehe | rosto de cabeça para baixo | rosto invertido | smile | upside-down | upside-down face
🫠	0	rosto derretendo	calor | derretendo | derreter | desaparecer | disappear | dissolve | dissolver | embarrassed | envergonhada | face | haha | heat | hot | liquid | lol | melt | melting | melting face | quente | rosto derretendo | sarcasm | sarcasmo | sarcastic | sarcástica | vergonha
😉	0	rosto com olho piscando	face | flerte | flirt | heartbreaker | piscada | rosto | rosto com olho piscando | rosto piscando | sexy | slide | tease | wink | winking | winking face | winks
😊	0	rosto sorridente com olhos sorridentes	alegre | blush | encabulada | envergonhada | eye | eyes | face | feliz | fofo | glad | rosto sorridente com olhos sorridentes | ruborizar | satisfeita | satisfied | sim | smile | smiling | smiling face with smiling eyes | sorriso | vergonha
😇	0	rosto sorridente com auréola	angel | angelic | angels | anjinho | anjo | auréola | blessed | face | fairy | fairytale | fantasy | halo | happy | innocent | inocente | peaceful | rosto | rosto sorridente com auréola | smile | smiling | smiling face with halo | sorriso | sorriso com auréola | spirit | tale
🥰	0	rosto sorridente com 3 corações	3 | adore | amando | amei | amo | apaixonada | coração | crush | face | heart | hearts | ily | love | paixão | romance | rosto | rosto sorridente com 3 corações | smile | smiling | smiling face with hearts | sorridente | te amo | you
😍	0	rosto sorridente com olhos de coração	143 | amor | apaixonado | bae | coração | eye | face | feels | heart-eyes | hearts | ily | kisses | love | olhar apaixonado | olhos | olhos de coração | paixão | romance | romantic | rosto | rosto sorridente com olhos de coração | smile | smiling face with heart-eyes | xoxo
🤩	0	rosto com olhar maravilhado	estrela | excited | eyes | face | gargalhando | grinning | olhos | rosto | rosto com olhar maravilhado | smile | star | star-struck | starry-eyed | super animada | super animado | super feliz | superanimada | superanimado | superfeliz | wow
😘	0	rosto mandando um beijo	adorbs | bae | beijo | blowing | face | face blowing a kiss | flerte | flirt | heart | ily | jogando beijos | kiss | love | lover | mandando beijo | miss | muah | romantic | rosto | rosto jogando beijos | rosto mandando um beijo | smooch | xoxo | you
😗	0	rosto beijando	143 | beijo | date | dating | face | flirt | ily | kiss | kissing face | love | rosto | rosto beijando | rosto com beijo | smooch | smooches | xoxo | you
☺️	0	rosto sorridente	corada | corado | face | happy | outlined | relaxado | relaxed | rosto | rosto sorridente | rosto sorrindo | rosto sorrindo não preenchido | smile | smiling | smiling face | sorridente | sorriso
😚	0	rosto beijando com olhos fechados	143 | bae | beijando | beijando com os olhos fechados | beijinho | blush | closed | date | dating | eye | eyes | face | flirt | ily | kisses | kissing | kissing face with closed eyes | mandando beijo | olhos fechados | rosto | rosto beijando com olhos fechados | smooches | xoxo
😙	0	rosto beijando com olhos sorridentes	143 | beijar e sorrir | beijinho | beijos | closed | date | dating | eye | eyes | face | flerte | flirt | ily | kiss | kisses | kissing | kissing face with smiling eyes | love | mandando beijo | night | olhos sorrindo | rosto | rosto beijando com olhos sorridentes | rosto beijando com um sorriso | smile | smiling | sorriso
🥲	0	rosto sorridente com lágrima	aliviada | chorar | contente | emocionado | face | felicidade | feliz | glad | grata | grateful | gratidão | happy | joy | lágrima | orgulhosa | pain | proud | relieved | rir | rosto sorridente com lágrima | smile | smiley | smiling | smiling face with tear | sorrir | tear | touched
😋	0	rosto saboreando comida	apetitoso | comida gostosa | delicioso | delicious | eat | face | face savoring food | food | full | gostoso | hungry | nham | rosto | rosto com sorriso | rosto saboreando | rosto saboreando comida | saboroso | savor | smile | smiling | sorriso | tasty | um | yum | yummy
😛	0	rosto mostrando a língua	awesome | cool | face | face with tongue | língua para fora | nice | party | rosto | rosto com língua para fora | rosto mostrando a língua | stuck-out | sweet | tongue
😜	0	rosto piscando e com língua para fora	brincadeira | crazy | epic | eye | face | funny | joke | loopy | língua para fora com piscadela | nutty | party | piscadela | piscando e mostrando a língua | provocação | rosto | rosto piscando e com língua para fora | stuck-out | tongue | wacky | weirdo | wink | winking | winking face with tongue | yolo
🤪	0	rosto bizarro	cara de maluco | crazy | doida | doido | excêntrico | eye | eyes | face | goofy | grande | large | louca | louco | olhar de maluco | olho | pequeno | rosto bizarro | small | zany | zany face
